Governador,Capital,Gentílico,Área Territorial,População residente,Densidade demográfica,Matrículas no ensino fundamental,IDH Índice de desenvolvimento humano,Total de receitas brutas realizadas,Total de despesas brutas empenhadas,Rendimento mensal domiciliar per capita,Total de veículos,UF
CARLOS ROBERTO MASSA JUNIOR   [2023],Curitiba   [2010],paranaense,"199.298,981 km²   [2023]",11.444.380 pessoas   [2022],"57,42 hab/km²   [2022]",1.365.869 matrículas   [2023],"0,769   [2021]","92.067.885.773,50 R$   [2023]","67.607.620.659,63 R$   [2023]",2.115 R$   [2023],8.838.800 veículos   [2023],PR
RAQUEL TEIXEIRA LYRA LUCENA   [2023],Recife   [2010],pernambucano,"98.067,877 km²   [2023]",9.058.931 pessoas   [2022],"92,37 hab/km²   [2022]",1.229.419 matrículas   [2023],"0,719   [2021]","53.294.049.711,50 R$   [2023]","48.872.197.159,80 R$   [2023]",1.113 R$   [2023],3.568.386 veículos   [2023],PE
RAFAEL TAJRA FONTELES   [2023],Teresina   [2010],piauiense,"251.755,481 km²   [2023]",3.271.199 pessoas   [2022],"12,99 hab/km²   [2022]",439.111 matrículas   [2023],"0,69   [2021]","22.928.941.802,89 R$   [2023]","20.000.924.386,53 R$   [2023]",1.342 R$   [2023],1.449.658 veículos   [2023],PI
CLÁUDIO BOMFIM DE CASTRO E SILVA   [2023],Rio de Janeiro   [2010],fluminense,"43.750,425 km²   [2023]",16.055.174 pessoas   [2022],"366,97 hab/km²   [2022]",1.945.098 matrículas   [2023],"0,762   [2021]","121.957.245.523,51 R$   [2023]","102.289.960.365,40 R$   [2023]",2.367 R$   [2023],7.705.012 veículos   [2023],RJ
MARIA DE FATIMA BEZERRA   [2023],Natal   [2010],"potiguar, norte-rio-grandense, rio-grandense-do-norte","52.809,599 km²   [2023]",3.302.729 pessoas   [2022],"62,54 hab/km²   [2022]",437.133 matrículas   [2023],"0,728   [2021]","22.703.397.803,27 R$   [2023]","19.486.967.053,93 R$   [2023]",1.373 R$   [2023],1.554.064 veículos   [2023],RN
EDUARDO FIGUEIREDO CAVALHEIRO LEITE   [2023],Porto Alegre   [2010],gaúcho ou sul-rio-grandense,"281.707,150 km²   [2023]",10.882.965 pessoas   [2022],"38,63 hab/km²   [2022]",1.255.794 matrículas   [2023],"0,771   [2021]","88.012.101.405,33 R$   [2023]","78.352.533.473,39 R$   [2023]",2.304 R$   [2023],8.075.318 veículos   [2023],RS
MARCOS JOSÉ ROCHA DOS SANTOS   [2023],Porto Velho   [2010],rondoniense ou rondoniano,"237.754,171 km²   [2023]",1.581.196 pessoas   [2022],"6,65 hab/km²   [2022]",227.246 matrículas   [2023],"0,7   [2021]","17.855.762.489,37 R$   [2023]","13.605.769.496,55 R$   [2023]",1.527 R$   [2023],1.197.221 veículos   [2023],RO
ANTONIO OLIVERIO GARCIA DE ALMEIDA   [2023],Boa Vista   [2010],roraimense,"223.644,534 km²   [2023]",636.707 pessoas   [2022],"2,85 hab/km²   [2022]",111.096 matrículas   [2023],"0,699   [2021]","8.846.153.006,77 R$   [2023]","7.473.220.866,93 R$   [2023]",1.425 R$   [2023],275.703 veículos   [2023],RR
JORGINHO DOS SANTOS MELLO   [2023],Florianópolis   [2010],catarinense ou barriga-verde,"95.730,690 km²   [2023]",7.610.361 pessoas   [2022],"79,50 hab/km²   [2022]",941.272 matrículas   [2023],"0,792   [2021]","61.440.241.790,39 R$   [2023]","43.927.295.658,78 R$   [2023]",2.269 R$   [2023],6.189.405 veículos   [2023],SC
TARCISIO GOMES DE FREITAS   [2023],São Paulo   [2010],paulista,"248.219,485 km²   [2023]",44.411.238 pessoas   [2022],"178,92 hab/km²   [2022]",5.343.271 matrículas   [2023],"0,806   [2021]","343.634.435.413,40 R$   [2023]","328.315.580.393,50 R$   [2023]",2.492 R$   [2023],33.264.096 veículos   [2023],SP
FÁBIO CRUZ MITIDIERI   [2023],Aracaju   [2010],sergipano ou sergipense,"21.938,188 km²   [2023]",2.210.004 pessoas   [2022],"100,74 hab/km²   [2022]",305.930 matrículas   [2023],"0,702   [2021]","17.151.927.623,32 R$   [2023]","13.470.989.190,76 R$   [2023]",1.218 R$   [2023],951.523 veículos   [2023],SE
WANDERLEI BARBOSA CASTRO   [2023],Palmas   [2010],tocantinense,"277.423,627 km²   [2023]",1.511.460 pessoas   [2022],"5,45 hab/km²   [2022]",222.404 matrículas   [2023],"0,731   [2021]","20.836.869.522,78 R$   [2023]","15.873.514.926,43 R$   [2023]",1.581 R$   [2023],874.905 veículos   [2023],TO
